influencer_name,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
Anthony Ginting,-0.33060002,-0.2204591,0.2998083,0.105597004,-0.1263089,-0.06793012,0.075487085,-0.2219257,0.2690987,0.3829496,0.3823603,0.37915403,0.11507947,-0.1825791,0.67021006,-0.028023541
Jonatan Christie,-0.3345321,-0.2148407,0.3032987,0.11346053,-0.12683617,-0.06625456,0.07192973,-0.227292,0.27184883,0.37438437,0.38332847,0.3823662,0.12730896,-0.1827841,0.66973126,-0.024482952
Kevin Sanjaya,-0.37737903,-0.20449887,0.33954027,0.15718777,-0.13351823,-0.052298814,0.06783883,-0.26823333,0.30526504,0.37519738,0.411092,0.42115676,0.1787656,-0.2044144,0.71855915,-0.005370182
Marcus Gideon,-0.34290296,-0.18957429,0.3073988,0.13971433,-0.12055154,-0.05688586,0.061814047,-0.24000704,0.2771192,0.34157673,0.37436128,0.38303095,0.15623148,-0.18236776,0.65984046,-0.010385662
Rizki Amelia,-0.350762,-0.2342529,0.32088587,0.12043327,-0.14015776,-0.056375556,0.07947008,-0.2439999,0.29306942,0.42063576,0.40801403,0.40897596,0.12989482,-0.19732635,0.7118585,-0.013664823
Eko Yuli Irawan,-0.2828818,-0.12967558,0.0010237992,0.02504199,-0.030769497,-0.23355159,-0.1777407,-0.047815233,0.1355611,0.017649394,-0.016507626,0.2460056,-0.30870056,-0.24718344,0.42705345,0.04009843
Diananda Choirunisa,-0.37088874,-0.1939819,0.31852365,0.15347818,-0.106993206,-0.03935388,0.07116771,-0.25466454,0.31490898,0.40514496,0.3861769,0.4058588,0.1216862,-0.21003506,0.7220835,0.0065972856
Indra Sjafri,-0.44158027,-0.24214159,0.3850812,0.18488409,-0.13339865,-0.015864443,0.10119577,-0.313501,0.383977,0.52804136,0.4611367,0.48523852,0.12776911,-0.26627597,0.87128145,0.028725876
Wahyu Nayaka,-0.35033494,-0.23019014,0.31878346,0.1239879,-0.13534014,-0.052924916,0.079604186,-0.243642,0.29480729,0.42244524,0.40226215,0.4064215,0.12381453,-0.19813824,0.71317303,-0.007875821
Ahsan Hendra,-0.34403768,-0.2419951,0.31520203,0.10956278,-0.13975035,-0.05796271,0.082760245,-0.23587959,0.29105347,0.43427244,0.40538654,0.40515837,0.11227746,-0.19610049,0.71067214,-0.015906332
