influencer,influencer_top1_positive,influencer_top1_neutral,influencer_top1_negative,influencer_top1_name,influencer_top2_positive,influencer_top2_neutral,influencer_top2_negative,influencer_top2_name,influencer_top3_positive,influencer_top3_neutral,influencer_top3_negative,influencer_top3_name
Chef Arnold,0.9498749690897325,0.8103560617991856,0.9040039788399424,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Chelsea Olivia,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Christian Sugiono,0.9052520517895861,0.9085491129825282,0.9514001597437942,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Cinta Laura,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"bernapas, dicari, dewa",0.0,0.0,0.0,"fahardhi, rian, tiktok"
Claradevi,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Cut Meyriska,0.8780297543575515,0.9436680650518786,0.8837338010470073,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Dandhy Laksono,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Danu Alqamara,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Denny Santoso,0.918902881634541,0.9411588774787055,0.886955451965332,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Devina Hermawan,0.9194981710212987,0.9199984580278396,0.9403248131275177,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Dewi Lestari,0.9032176584005356,0.9574957638978958,0.8807843923568726,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Diananda Choirunisa,0.8666289627552033,0.9858987383047739,0.934239673614502,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Dinda Hauw,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Donkey,0.0,0.8679670318961143,0.9991744160652161,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Donna Harun,0.9067467898130417,0.8777181451417961,0.9428637342793601,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
EVOS Reza,0.885273117158148,0.9707313096800516,0.9233570972154307,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.885273117158148,0.9707313096800516,0.9233570972154307,"gak, nadanya, ngejudge"
Eko Yuli Irawan,0.9244378750974481,0.9783710265646175,0.887977522611618,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Ernest Prakasa,0.9330022397429444,0.9570464246413287,0.9196550975675168,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Fadhilah Razak,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"bernapas, dicari, dewa",0.0,0.0,0.0,"fahardhi, rian, tiktok"
Farah Quinn,0.8898053566614786,0.9760338664054871,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Felicya Angelista,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Felix Siauw,0.8915798200501336,0.9338685087182305,0.9279479471119967,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Fellexandro Ruby,0.9357831256730216,0.9370534807443619,0.8891560408998939,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Gede Prama,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Gina S. Noer,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Gisella Anastasia,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Gitasav,0.9101127156844506,0.9191053377977316,0.9141045488693096,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Greysia Polii,0.9109026530514592,0.9523899188104844,0.8951842647332412,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
